Código Identificação;UF;Município;Faixas;Tipo;Marca/Modelo;Edital/Lote (Operadora);Inicio Operação;Cód. ET;Cód. EV;latitude;longitude;km;br
ACB22010002;AC;RIO BRANCO;P-C-1, P-C-2;REV;Vizentec/DTV 102;168.16 / 10 (Data Traffic);2022-08-10;ET.1912.AC0001;EV.1910.AC0016;-10.011417;-67.794678;124.4;364
ALB18080001;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0023;EV.1805.AL0009;-9.15115199999999;-36.013171;33.74;104
ALB18080002;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0001;EV.1805.AL0020;-9.466008;-35.825153;86.255;104
ALB18080003;AL;RIO LARGO;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0002;EV.1805.AL0023;-9.474353;-35.8220549999999;87.257;104
ALB18080004;AL;RIO LARGO;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0002;EV.1805.AL0023;-9.474353;-35.8220549999999;87.257;104
ALB18080005;AL;MARAVILHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0006;EV.1805.AL0016;-9.27182299999999;-37.391544;65.0;316
ALB18080006;AL;POCO DAS TRINCHEIRAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0039;EV.1805.AL0017;-9.34071499999999;-37.2843409999999;78.95;316
ALB18080007;AL;SANTANA DO IPANEMA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0003;EV.1805.AL0019;-9.368432;-37.246836;84.33;316
ALB18080008;AL;SANTANA DO IPANEMA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0041;EV.1805.AL0022;-9.37311399999999;-37.2357609999999;85.68;316
ALB18080009;AL;MARIBONDO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0010;EV.1805.AL0047;-9.58554999999999;-36.3204149999999;200.7;316
ALB18080010;AL;PILAR;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0051;EV.1805.AL0057;-9.588725;-35.955606;254.37;316
ALB18080011;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0049;EV.1805.AL0063;-9.571728;-35.82179;270.08;316
ALB18080012;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0014;EV.1805.AL0064;-9.571619;-35.825136;269.72;316
ALB18080013;AL;AGUA BRANCA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0038;EV.1805.AL0018;-9.33018099999999;-37.9834;79.0;423
ALB18090014;AL;SAO MIGUEL DOS CAMPOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0016;EV.1805.AL0039;-9.80836599999999;-36.11616;139.445;101
ALB18090015;AL;RIO LARGO;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0030;EV.1805.AL0025;-9.50911499999999;-35.807797;91.392;104
ALB18090016;AL;MURICI;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0027;EV.1805.AL0014;-9.307779;-35.939058;59.184;104
ALB18090017;AL;RIO LARGO;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0030;EV.1805.AL0025;-9.50911499999999;-35.807797;91.392;104
ALB18090018;AL;DOIS RIACHOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0042;EV.1805.AL0034;-9.38945999999999;-37.089685;102.96;316
ALB18090019;AL;CACIMBINHAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0043;EV.1805.AL0036;-9.40447299999999;-36.989922;114.23;316
ALB18090020;AL;ESTRELA DE ALAGOAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0045;EV.1805.AL0038;-9.389732;-36.80932;134.34;316
ALB18090021;AL;MARIBONDO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0056;EV.1805.AL0048;-9.57760299999999;-36.304628;202.7;316
ALB18090022;AL;BRANQUINHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0026;EV.1805.AL0012;-9.24140599999999;-36.012441;46.16;104
ALB18090023;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0024;EV.1805.AL0010;-9.162107;-36.0172519999999;35.1;104
ALB18090024;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0029;EV.1805.AL0024;-9.497467;-35.81257;90.0;104
ALB18090025;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0008;EV.1805.AL0042;-9.421091;-36.6233969999999;156.25;316
ALB18090026;AL;BELEM;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0046;EV.1805.AL0046;-9.59074599999999;-36.4569929999999;184.1;316
ALB18090027;AL;ATALAIA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0011;EV.1805.AL0056;-9.515019;-36.00168;244.84;316
ALB18090028;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0013;EV.1805.AL0059;-9.587967;-35.880499;262.8;316
ALB18090029;AL;SATUBA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0048;EV.1805.AL0062;-9.572335;-35.8271289999999;269.48;316
ALB18090030;AL;PORTO REAL DO COLEGIO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0017;EV.1805.AL0049;-10.063902;-36.6899069999999;222.3;101
ALB18090031;AL;UNIAO DOS PALMARES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0025;EV.1805.AL0011;-9.166638;-36.0212229999999;35.84;104
ALB18090032;AL;RIO LARGO;P-C-1, P-C-2, P-C-3;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-03-16;ET.1806.AL0031;EV.1805.AL0026;-9.51823;-35.803384;92.509;104
ALB18090033;AL;SANTANA DO IPANEMA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0040;EV.1805.AL0021;-9.36992;-37.242477;84.82;316
ALB18090034;AL;ATALAIA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0052;EV.1805.AL0055;-9.51151499999999;-36.0038759999999;244.38;316
ALB18090035;AL;PORTO REAL DO COLEGIO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0019;EV.1805.AL0051;-10.095507;-36.701703;226.275;101
ALB18090036;AL;RIO LARGO;P-D-1, P-D-2, P-D-3;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0032;EV.1805.AL0027;-9.518523;-35.8028679999999;92.557;104
ALB18100037;AL;PORTO REAL DO COLEGIO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0018;EV.1805.AL0050;-10.078784;-36.696058;224.07;101
ALB18110039;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1806.AL0007;EV.1805.AL0040;-9.40665199999999;-36.689202;148.0;316
ALB18120040;AL;CACIMBINHAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-02-12;ET.1806.AL0044;EV.1805.AL0037;-9.400028;-36.924599;121.47;316
ALB18120041;AL;PILAR;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-30;ET.1806.AL0012;EV.1805.AL0058;-9.58167899999999;-35.959923;253.455;316
ALB18120042;AL;MURICI;P-C-1, P-D-1;REV;Brascontrol/BRI 7000;168.16 / 14 (GCT);2019-02-09;ET.1806.AL0028;EV.1805.AL0015;-9.31614;-35.9307329999999;60.499;104
ALB18120043;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-16;ET.1808.AL0058;EV.1805.AL0044;-9.48094599999999;-36.574233;164.775;316
ALB19010044;AL;BELEM;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0009;EV.1805.AL0045;-9.584023;-36.4967669999999;179.1;316
ALB19010045;AL;INHAPI;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0037;EV.1805.AL0013;-9.26512499999999;-37.732199;50.9;423
ALB19080046;AL;MACEIO;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-12-17;ET.1806.AL0034;EV.1805.AL0029;-9.54455399999999;-35.7890999999999;95.813;104
ALB20030049;AL;ATALAIA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-08-29;ET.1811.AL0061;EV.1803.AL0003;-9.545458;-35.982565;248.7;316
ALB20050050;AL;MACEIO;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-08-29;ET.1910.AL0068;EV.1805.AL0067;-9.56525;-35.784877;275.32;316
ALB21040053;AL;MACEIO;P-C-2, P-C-3, M-C-3;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2021-05-13;ET.1908.AL0067;EV.1805.AL0032;-9.56085299999999;-35.780003;97.85;104
ALB21040054;AL;MACEIO;M-C-1, M-C-2;REV;Consilux/Speed Control IV;168.16 / 14 (GCT);2021-05-13;ET.1908.AL0067;EV.1805.AL0032;-9.56085299999999;-35.780003;97.85;104
ALB24070055;AL;ATALAIA;P-C-1, P-D-1;REV;Focalle/F-LIN;519.23 / 8 (Serttel-Sinales);;ET.2404.AL0076;EV.2404.AL0105;-9.515019;-36.00168;244.84;316
ALR18080001;AL;SAO JOSE DA LAJE;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-08;ET.1806.AL0020;EV.1805.AL0006;-8.961093;-36.021301;7.755;104
ALR18080002;AL;SAO JOSE DA LAJE;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2018-12-14;ET.1806.AL0021;EV.1805.AL0007;-8.96585199999999;-36.017755;8.443;104
ALR18080003;AL;ATALAIA;P-C-1, P-C-2, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-09;ET.1806.AL0053;EV.1805.AL0054;-9.50932399999999;-36.006498;243.08;316
ALR18090004;AL;ATALAIA;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-17;ET.1806.AL0055;EV.1805.AL0052;-9.50403099999999;-36.046872;238.3;316
ALR18090005;AL;ATALAIA;P-C-1, P-C-2, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-24;ET.1806.AL0054;EV.1805.AL0053;-9.50793;-36.01883;242.4;316
ALR18090006;AL;SATUBA;P-C-1, P-D-1, P-D-2;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-09;ET.1806.AL0050;EV.1805.AL0061;-9.58880199999999;-35.865906;264.5;316
ALR18090007;AL;SAO JOSE DA LAJE;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-08;ET.1806.AL0022;EV.1805.AL0008;-9.02827899999999;-36.038598;16.52;104
ALR18090008;AL;SATUBA;P-C-1, P-D-1, P-D-2;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-09;ET.1806.AL0047;EV.1805.AL0060;-9.586835;-35.8732169999999;263.6;316
ALR19010009;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-19;ET.1806.AL0004;EV.1805.AL0041;-9.43177099999999;-36.644295;153.635;316
ALR19080010;AL;MACEIO;P-C-1, P-C-2, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-11-08;ET.1808.AL0057;EV.1805.AL0065;-9.57015999999999;-35.8034359999999;272.63;316
ALR20050011;AL;FLEXEIRAS;P-C-1, P-C-2;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-09-04;ET.2004.AL0071;EV.2004.AL0072;-9.244096;-35.7576729999999;50.8;101
ALR20050012;AL;PALMEIRA DOS INDIOS;P-C-1, P-D-1;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-09-03;ET.2004.AL0070;EV.1805.AL0043;-9.43159999999999;-36.6147459999999;158.0;316
ALR20120013;AL;SAO SEBASTIAO;P-C-1, P-C-2;CEV;Consilux/Speed Control IV;168.16 / 14 (GCT);2021-03-20;ET.2011.AL0072;EV.2010.AL0073;-9.974669;-36.5578489999999;203.5;101
ALR24070014;AL;SAO JOSE DA LAJE;P-C-1, P-D-1;CEV;Focalle/F-LIN;519.23 / 8 (Serttel-Sinales);;ET.2404.AL0073;EV.2404.AL0078;-8.96585199999999;-36.017755;8.443;104
ALS18100001;AL;MACEIO;P-D-1, P-D-2, P-D-3;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-03-16;ET.1806.AL0035;EV.1805.AL0030;-9.544684;-35.788701;95.846;104
ALS19010002;AL;MACEIO;P-C-1, P-C-2;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-30;ET.1806.AL0033;EV.1805.AL0028;-9.540599;-35.79108;95.325;104
ALS19010003;AL;MACEIO;P-D-1, P-D-2;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-01-30;ET.1806.AL0033;EV.1805.AL0028;-9.540599;-35.79108;95.325;104
ALS19010004;AL;MACEIO;P-D-1, P-D-2, P-D-3;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2019-11-08;ET.1808.AL0059;EV.1805.AL0033;-9.56100099999999;-35.7796129999999;97.941;104
ALS19080005;AL;MACEIO;P-C-1, P-C-2, P-C-3, P-D-1, P-D-2, P-D-3;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-02-12;ET.1806.AL0036;EV.1805.AL0031;-9.55746899999999;-35.781815;97.452;104
ALS19110006;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;CEM;Consilux/Speed Control IV;168.16 / 14 (GCT);2020-03-11;ET.1908.AL0066;EV.1810.AL0071;-9.53243499999999;-35.795841;94.32;104
ALS24070008;AL;RIO LARGO;P-C-1, P-C-2, P-D-1, P-D-2;CEM;Focalle/F-LIN;519.23 / 8 (Serttel-Sinales);;ET.2404.AL0074;EV.2404.AL0140;-9.53243499999999;-35.795841;94.32;104
ALS24070009;AL;MACEIO;P-C-1, P-C-2, P-D-1, P-D-2;CEM;Focalle/F-LIN;519.23 / 8 (Serttel-Sinales);;ET.2404.AL0075;EV.2404.AL0142;-9.540599;-35.79108;95.33;104
AMB19010001;AM;MANAUS;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0001;EV.1805.AM0001;-2.965583;-60.0213889999999;884.98;174
AMB19010003;AM;MANAUS;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0003;EV.1805.AM0003;-2.947972;-60.033444;887.7;174
AMB19010004;AM;MANAUS;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0006;EV.1805.AM0006;-2.85667999999999;-60.0375799999999;897.97;174
AMB19010005;AM;PRESIDENTE FIGUEIREDO;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0010;EV.1805.AM0010;-2.05595999999999;-60.02241;989.92;174
AMB19010006;AM;PRESIDENTE FIGUEIREDO;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0011;EV.1805.AM0011;-2.0404;-60.02597;991.84;174
AMB19010007;AM;MANAUS;P-C-1, P-D-1;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2019-08-23;ET.1807.AM0008;EV.1805.AM0008;-2.9095;-60.0382499999999;892.0;174
APB20060001;AP;MACAPA;P-C-1, P-C-2, P-D-1, P-D-2;REV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2021-01-16;ET.1909.AP0005;EV.1810.AP0005;0.082013;-51.076583;2.8;210
APR20060001;AP;MACAPA;P-C-1, P-C-2, P-D-1, P-D-2;CEV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2021-01-16;ET.1808.AP0002;EV.1805.AP0004;0.07781;-51.06873;0.5;210
APR20060002;AP;MACAPA;P-C-1, P-C-2, P-D-1, P-D-2;CEV;Velsis/VSIS-VCAP-01;168.16 / 11 (Velsis);2021-01-16;ET.1808.AP0003;EV.1805.AP0002;0.08193;-51.07629;1.5;210
BAB18100002;BA;SANTO ANTONIO DE JESUS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1809.BA0128;EV.1805.BA0265;-12.965471;-39.2724219999999;260.77;101
BAB18100003;BA;SANTO ANTONIO DE JESUS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1809.BA0129;EV.1805.BA0266;-12.974772;-39.275835;261.92;101
BAB18100004;BA;LAJE;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1809.BA0130;EV.1805.BA0272;-13.173805;-39.31736;288.5;101
BAB18100005;BA;TUCANO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1806.BA0001;EV.1805.BA0269;-10.97197;-38.7921729999999;275.2;116
BAB18100006;BA;TUCANO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1806.BA0002;EV.1805.BA0271;-11.062944;-38.8385839999999;286.59;116
BAB18100009;BA;TEOFILANDIA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-19;ET.1806.BA0005;EV.1805.BA0287;-11.48131;-38.995956;337.615;116
BAB18100010;BA;SERRINHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1806.BA0006;EV.1805.BA0292;-11.6608719999999;-38.998404;358.35;116
BAB18100011;BA;SERRINHA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1806.BA0007;EV.1805.BA0293;-11.6721039999999;-38.9985039999999;359.74;116
BAB18100014;BA;SEABRA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-18;ET.1806.BA0019;EV.1805.BA0304;-12.4272969999999;-41.769461;391.97;242
BAB18100015;BA;SEABRA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-01-17;ET.1806.BA0020;EV.1805.BA0305;-12.428856;-41.7813439999999;393.27;242
BAB18100016;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0032;EV.1805.BA0331;-16.349726;-39.5800569999999;715.36;101
BAB18100017;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0033;EV.1805.BA0332;-16.357899;-39.579501;716.25;101
BAB18100018;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0034;EV.1805.BA0333;-16.3664519999999;-39.5822319999999;717.26;101
BAB18100019;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0038;EV.1805.BA0337;-16.374962;-39.581021;718.29;101
BAB18100020;BA;TEIXEIRA DE FREITAS;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0048;EV.1805.BA0358;-17.525645;-39.7085069999999;875.34;101
BAB18100021;BA;TEIXEIRA DE FREITAS;P-C-1, P-C-2;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0048;EV.1805.BA0358;-17.525645;-39.7085069999999;875.34;101
BAB18100022;BA;TEIXEIRA DE FREITAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0050;EV.1805.BA0361;-17.543644;-39.7174809999999;877.57;101
BAB18100023;BA;TEIXEIRA DE FREITAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0051;EV.1805.BA0362;-17.5514459999999;-39.721893;878.55;101
BAB18110024;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0031;EV.1805.BA0330;-16.337474;-39.5812469999999;713.88;101
BAB18110025;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0039;EV.1805.BA0339;-16.386536;-39.586477;719.7;101
BAB18110026;BA;ITABELA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0041;EV.1805.BA0345;-16.580417;-39.5568689999999;746.35;101
BAB18110027;BA;ITAMARAJU;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0042;EV.1805.BA0351;-17.0186129999999;-39.5420919999999;807.825;101
BAB18110028;BA;ITAMARAJU;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0045;EV.1805.BA0354;-17.0335329999999;-39.540086;810.6;101
BAB18110029;BA;ITAMARAJU;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0046;EV.1805.BA0355;-17.049896;-39.5494449999999;812.25;101
BAB18110030;BA;ITAMARAJU;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0047;EV.1805.BA0356;-17.060752;-39.552973;813.58;101
BAB18110031;BA;TEIXEIRA DE FREITAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2018-11-22;ET.1806.BA0049;EV.1805.BA0360;-17.5396749999999;-39.715392;877.05;101
BAB18120034;BA;EUNAPOLIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0035;EV.1805.BA0334;-16.369242;-39.5834389999999;717.585;101
BAB18120035;BA;ITABELA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0040;EV.1805.BA0344;-16.571109;-39.5593909999999;745.42;101
BAB18120036;BA;PORTO SEGURO;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-01-17;ET.1806.BA0071;EV.1805.BA0208;-16.394447;-39.4667249999999;70.575;367
BAB19010037;BA;RIO REAL;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2020-04-10;ET.1808.BA0101;EV.1805.BA0186;-11.5392189999999;-37.8568339999999;6.68;101
BAB19010039;BA;ESPLANADA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2020-05-01;ET.1808.BA0103;EV.1805.BA0200;-11.787501;-37.950667;36.96;101
BAB19010040;BA;SANTO ANTONIO DE JESUS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2019-07-23;ET.1809.BA0142;EV.1805.BA0267;-12.980629;-39.2864819999999;263.7;101
BAB19010042;BA;VALENCA;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-02-19;ET.1809.BA0132;EV.1805.BA0278;-13.283946;-39.3216109999999;302.4;101
BAB19010043;BA;PRESIDENTE TANCREDO NEVES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2019-02-19;ET.1809.BA0133;EV.1805.BA0280;-13.3923869999999;-39.40028;319.65;101
BAB19010044;BA;PRESIDENTE TANCREDO NEVES;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2020-05-01;ET.1809.BA0134;EV.1805.BA0284;-13.4540849999999;-39.420309;328.0;101
BAB19080046;BA;LENCOIS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2020-03-12;ET.1901.BA0185;EV.1803.BA0072;-12.493973;-41.328133;329.15;242
BAB19080047;BA;LUIZ EDUARDO MAGALHAES;P-C-1, P-C-2, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2020-05-05;ET.1807.BA0098;EV.1805.BA0364;-12.0909859999999;-45.793664;883.04;242
BAB19100048;BA;BARREIRAS;P-C-1, P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2020-06-17;ET.1902.BA0202;EV.1803.BA0088;-12.1416059999999;-44.8866269999999;779.4;242
BAB19100049;BA;FEIRA DE SANTANA;P-C-1;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2020-04-28;ET.1808.BA0113;EV.1805.BA0225;-12.358525;-38.8624179999999;171.0;101
BAB19100050;BA;FEIRA DE SANTANA;P-D-1, P-D-2;REV;Consilux/Speed Control IV;168.16 / 7 (GCT);2020-04-28;ET.1808.BA0113;EV.1805.BA0225;-12.358525;-38.8624179999999;171.0;101
BAB19100051;BA;BARREIRAS;P-C-1, P-D-1;REV;Consilux/Speed Control IV;168.16 / 6 (GCT);2020-05-01;ET.1909.BA0222;EV.1803.BA0058;-12.12965;-45.00996;174.3;135
